,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder
500,gaussian_linear,100000,6,REJ-ABC,1102788001,0.78745,0.76925,0.021689892,0.021679997,1.4695044,0.712,0.7205,0.021660328,0.02153492,1.4795244,,0.005761953194936117,10.945756095432127,8.706778139137901,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/17,17
501,gaussian_linear,1000,6,REJ-ABC,2694772300,0.8701,0.85945,0.06686717,0.06679946,1.5930144,0.8365,0.8415,0.06711286,0.06714833,1.576383,,0.004754714171091716,12.206671865961745,9.906406239023779,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/15,15
502,gaussian_linear,100000,4,REJ-ABC,1844371596,0.88295,0.87075,0.09385085,0.093107045,1.9044752,0.837,0.844,0.096123695,0.0950436,1.8921216,,0.00545112689336141,12.661216094690454,10.390903700139987,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/11,11
503,gaussian_linear,10000,7,REJ-ABC,287310957,0.8545,0.8453,0.05368924,0.053651452,1.6183711,0.811,0.8055,0.055027306,0.055322945,1.6042707,,0.004822937647501627,11.95122749156656,9.646630987806265,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/19,19
504,gaussian_linear,1000,10,REJ-ABC,3605355046,0.9242,0.91765,0.1478793,0.14780593,1.9733702,0.8995,0.8905,0.14747947,0.1489923,1.967222,,0.004664794603983561,12.998793902553116,10.733326925126915,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/27,27
505,gaussian_linear,10000,1,REJ-ABC,499284200,0.87395,0.86085,0.08114362,0.081382096,1.7885773,0.839,0.8435,0.0787074,0.07935697,1.8041513,,0.11713801225026449,12.358815706555335,10.006651943476403,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/1,1
506,gaussian_linear,1000,4,REJ-ABC,2687775546,0.94835,0.94505,0.19887793,0.19768566,2.1157255,0.9185,0.9235,0.20201373,0.200064,2.1251965,,0.12574394543965658,13.439631970160107,11.147387589602362,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/9,9
507,gaussian_linear,100000,9,REJ-ABC,1393499203,0.8107,0.79255,0.039470196,0.03939116,1.6124763,0.754,0.7705,0.03891194,0.038965464,1.6060498,,0.009019414583841959,11.654899654174077,9.338498818643412,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/26,26
508,gaussian_linear,1000,2,REJ-ABC,1147855861,0.91375,0.9082,0.11682111,0.11699897,1.8119726,0.8905,0.901,0.12045145,0.12120396,1.7893088,,0.11603601773579915,12.737608190758838,10.443929607951018,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/3,3
509,two_moons,100000,10,REJ-ABC,3110698903,0.53785,0.7201,0.00082981586,0.000831604,0.09393591,0.5035,0.708,0.002006054,0.0020126104,0.09610483,,0.008269019921620687,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/29,29
510,two_moons,1000,7,REJ-ABC,3632265676,0.8996,0.966,0.13914448,0.13904715,0.19324397,0.8605,0.9535,0.13419175,0.13418788,0.19718522,,0.007188077767690023,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/18,18
511,two_moons,100000,8,REJ-ABC,908943794,0.57425,0.71665,0.010675073,0.010687232,0.088664666,0.5365,0.727,0.016115546,0.016102672,0.08671359,,0.00830539067586263,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/23,23
512,two_moons,10000,10,REJ-ABC,3756411793,0.76595,0.88205,0.008400083,0.00842154,0.10444932,0.6025,0.8605,0.008421302,0.008488655,0.10581511,,0.007079629103342692,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/28,28
513,two_moons,10000,5,REJ-ABC,3403061351,0.8906,0.8908,0.00043046474,0.00043070316,0.11308421,0.867,0.863,6.055832e-05,5.9723854e-05,0.110379666,,0.0073276877403259276,,,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/13,13
514,two_moons,10000,8,REJ-ABC,1746967874,0.71365,0.85925,0.008431792,0.008439064,0.097323194,0.5385,0.858,0.009429693,0.009402633,0.0953013,,0.007210743427276611,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/22,22
515,two_moons,1000,3,REJ-ABC,1051742616,0.9374,0.9564,0.0069841146,0.0069874525,0.2125581,0.929,0.951,0.007793665,0.007839322,0.2210127,,0.10832562446594238,,,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/6,6
516,two_moons,10000,6,REJ-ABC,1095575310,0.79045,0.86865,0.00063622,0.00063610077,0.10667679,0.617,0.8205,0.00010597706,0.000106334686,0.10536577,,0.00739662249883016,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/16,16
517,two_moons,100000,5,REJ-ABC,1303958504,0.73365,0.73175,0.007524848,0.0075252056,0.093522236,0.53,0.53,0.0026938915,0.0026952028,0.09398777,,0.008391209443410238,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/14,14
518,two_moons,10000,2,REJ-ABC,2297268571,0.8058,0.8273,0.0003848076,0.00038552284,0.10313027,0.5375,0.695,2.9444695e-05,3.0636787e-05,0.09992185,,0.1108048439025879,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/4,4
519,two_moons,100000,7,REJ-ABC,3673640156,0.5442,0.71025,0.007204652,0.0071908236,0.0939443,0.5405,0.7035,0.008574724,0.008562207,0.092890814,,0.006473847230275472,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/20,20
520,two_moons,10000,4,REJ-ABC,3391538514,0.76905,0.82005,0.006613493,0.0066151023,0.09817721,0.5165,0.7225,0.00028467178,0.0002837181,0.10048033,,0.007176792621612549,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/10,10
521,two_moons,1000,9,REJ-ABC,2918691409,0.9374,0.95415,0.054733932,0.054737866,0.20059934,0.93,0.939,0.058205068,0.05822873,0.20333242,,0.005988959471384684,,,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/24,24
522,two_moons,1000,5,REJ-ABC,3329240758,0.97425,0.9753,0.004794836,0.0047951937,0.25908792,0.9725,0.972,0.005504489,0.005509019,0.26173514,,0.007004384199778239,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/12,12
523,two_moons,1000,8,REJ-ABC,424979440,0.92125,0.9578,0.06814778,0.06807804,0.19523215,0.833,0.951,0.06285828,0.063040555,0.19103917,,0.007285555203755696,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/21,21
524,two_moons,100000,1,REJ-ABC,4183341623,0.55885,0.5309,0.0016766787,0.0016767979,0.088213146,0.5065,0.5345,4.374981e-05,4.4107437e-05,0.08794983,,0.1051482359568278,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/08-58-42/2,2
